C,A,M,Y
0.1513942111373346,0,0.2110126810420377,0.33856152057274547
0.7425084910129905,1,0.7075171317027804,0.8212840883422196
0.4089578742401942,0,0.4153713056196229,0.32538795236407514
0.439015531931222,0,0.3620092046383889,0.38803154813922264
0.333623907954059,1,0.5170634646377769,0.5890996652636002
0.6695394399887126,1,0.7731756379844714,0.7876298754278982
0.40577319229953474,0,0.4501973765014072,0.41900687116256147
0.28467159156493843,1,0.9023561112381608,0.6448238199329804
0.5938064066009927,0,0.3025583261927494,0.4370211247692901
0.4037439148177593,0,0.11848965160301853,0.17585646663850218
0.5320819172078338,1,0.7757856589651383,0.7857161832527699
0.4283493785915728,1,0.6770952111239649,0.5411129920298583
0.7046903815836939,1,0.8314498357911244,0.7059437635547207
0.6671445752592103,0,0.2583950126546278,0.3354654184455182
0.30681578630842243,1,0.6857320575501722,0.630227380947989
0.7896089153359404,1,0.693381862771752,0.717580942949571
0.29591620528494306,0,0.42085067331462217,0.6597551731907805
0.48204284311203704,0,0.3492576648683756,0.44167330825302004
0.3577225849884419,0,0.3200612540905448,0.4746450191952146
0.3206165934256651,0,0.39924380944667526,0.4246123383599981
0.5098595862458317,0,0.12492541107942667,0.6175254568236911
0.4726453407652725,0,0.15205929673314814,0.34271250694287897
0.39178907281101877,1,0.7588591834435905,0.5934744423254275
0.1423076235230242,0,0.4450570707798287,0.5580453836639017
0.5643196730580469,0,0.36183796995899353,0.39872350862973943
0.34460891695836227,0,0.31317654936569006,0.390966508780865
0.24927185557453993,0,0.3918007015341722,0.34173194758977204
0.3915195029316973,0,0.19050656007933284,0.3469917627998178
0.5281778672102198,0,0.4238846227298766,0.5080121151206463
0.5315615354259675,1,0.7805274781867875,0.7167003783277214
0.3218111869383141,1,0.4791123675200764,0.4513883875045243
0.11371513947526733,0,0.4708575692268103,0.06872884448538355
0.5746043165633299,1,0.6824786867429123,0.47497440494533993
0.4055898628132266,0,0.4931268995548616,0.46596154121166183
0.706503242201169,1,0.6860170329406604,0.8337411463186514
0.5002579650924629,1,0.6122986505957013,0.4789585633684443
0.4456128416708112,1,0.7100612231282053,0.8483993544448674
0.19042169546792223,1,0.8060270733838667,0.48750825034608825
0.4865882255349536,0,0.5357999838355314,0.5471132687689269
0.5236558762066416,1,0.7754503687229272,0.6023577319453539
0.48395786317983724,0,0.5045296087462725,0.37119433327583173
0.3877890673860924,1,0.7607617221673304,0.6118098216309065
0.46314459012506576,1,0.5875434285939137,0.5236327630258799
0.3410755376181803,1,0.4781799885881277,0.5402036078548341
0.7662199840982599,1,0.6878952059398382,0.7072777450218513
0.25874893510945496,1,0.5229896509761918,0.6090249001151354
0.8096137796217399,1,0.7577730182380767,0.6923750864886327
0.08450442235342964,0,0.27042727152347157,0.2652966974467884
0.7160546847496727,0,0.3904669111464051,0.4857292504475496
0.5701647200495195,0,0.06665819446773256,0.43682515612510353
0.33967074810881975,1,0.6769553895436105,0.5769471358325443
0.5639145784546566,1,0.7839729625237934,0.7011369197950531
0.7183153054243063,0,0.35968069805652936,0.44960856938187027
0.7052710515481991,0,0.3306724976711237,0.5392471633535114
0.8461553245266852,0,0.4895266319048989,0.4771562982150283
0.2785870458458461,0,0.2944030447664873,0.46969631720242533
0.6383563442495852,0,0.2664048583935389,0.4250441247611419
0.2750922105398104,0,0.2093247237937412,0.32387035860936997
0.3454129081481899,0,0.3942834347128106,0.4485714609378324
0.2592804401812975,0,0.33765163080405364,0.7047204859697236
0.43136713080735184,0,0.40606634274941633,0.41637804092528197
0.32913495029708045,0,0.20230560727850808,0.2975457080012754
0.6627771405976863,1,0.7102549030863776,0.5735775294409339
0.5793390284425336,1,0.5551981886217369,0.5638653209503497
0.7162823535503021,0,0.25468566072961074,0.44246094570543315
0.5772316917149026,1,0.7128436816644925,0.6143911876027792
0.5624466531382493,1,0.7389171547244596,0.617821988292029
0.6559074332803937,1,0.7615855249172616,0.8244276609007739
